34	4
297	4
476	4
693	4
1133	4
1210	4
1518	4
1609	4
2274	4
2437	4
2536	4
2779	4
2840	4
3180	4
3364	4
4460	4
4737	4
4879	4
5889	4
5986	4
11	4
1253	4
4263	4
4377	4
4397	4
4981	4
27	6
257	6
899	6
993	6
1254	6
1877	6
2240	6
2789	6
3814	6
3836	6
4022	6
4024	6
6052	6
281	7
794	7
1142	7
3306	7
1650	7
2026	7
2295	7
2652	7
3261	7
3590	7
4041	7
4047	7
5148	7
5626	7
6063	7
247	8
608	8
1328	8
1639	8
1666	8
2465	8
3306	8
2498	8
2505	8
2671	8
2722	8
3306	8
3552	8
3864	8
3875	8
4063	8
4123	8
4130	8
4639	8
5679	8
19	9
41	9
28	9
253	9
1528	9
1569	9
1847	9
1953	9
2777	9
2805	9
3738	9
4412	9
4505	9
4755	9
5569	9
1623	10
1638	10
1651	10
2453	10
3950	10
4029	10
4246	10
4309	10
4922	10
5250	10
5393	10
5451	10
5515	10
5516	10
81	11
323	11
467	11
1711	11
1828	11
2032	11
2093	11
7005	11
2525	11
2623	11
2627	11
2819	11
3613	11
4028	11
4252	11
4411	11
5623	11
7007	11
5921	11
6045	11
172	12
1437	12
2317	12
2401	12
3412	12
3525	12
3594	12
3668	12
3968	12
4012	12
4036	12
4057	12
4099	12
4546	12
5642	12
1222	13
1466	13
1557	13
1697	13
2445	13
2743	13
3489	13
4484	13
4498	13
4802	13
4956	13
237	14
1645	14
1967	14
2039	14
2231	14
2585	14
2647	14
2848	14
3051	14
3847	14
4005	14
4021	14
4450	14
4839	14
5445	14
5931	14
6034	14
201	16
1063	16
2400	16
3395	16
3795	16
3963	16
4409	16
4725	16
5538	16
5603	16
5915	16
26	17
1228	17
2426	17
2813	17
3281	17
3857	17
4020	17
4498	17
4444	17
4472	17
5498	17
646	18
1256	18
1538	18
2262	18
3816	18
4015	18
4513	18
5251	18
5536	18
6055	18
995	19
1164	19
2409	19
2677	19
2681	19
2702	19
3505	19
3910	19
4686	19
149	20
650	20
690	20
966	20
1182	20
1185	20
1586	20
1675	20
1695	20
3212	20
3295	20
3531	20
3972	20
5053	20
5125	20
5392	20
199	21
1438	21
2089	21
2263	21
2527	21
4344	21
5252	21
5757	21
5989	21
633	22
788	22
965	22
1178	22
1181	22
1656	22
2002	22
2285	22
2351	22
3284	22
4046	22
4665	22
4667	22
4786	22
806	23
1475	23
1519	23
1539	23
3062	23
4403	23
72	24
135	24
1667	24
2668	24
4001	24
5632	24
5828	24
5897	24
160	25
3437	25
3455	25
326	27
797	27
1288	27
1545	27
2283	27
2294	27
2555	27
2642	27
2764	27
2849	27
4023	27
4151	27
4275	27
5552	27
832	28
1208	28
5774	28
2639	28
3189	28
4049	28
4086	28
5062	28
1312	29
1506	29
2266	29
4287	29
5770	29
3593	30
4565	30
3345	31
5525	31
1465	32
3516	32
660	33
668	33
1664	33
1443	34
1620	34
3370	34
3707	34
4140	34
4406	34
5639	34
39	35
279	35
283	35
414	35
550	35
1354	35
1355	35
1467	35
2568	35
5090	35
5400	35
5401	35
5746	35
482	36
487	36
918	36
1259	36
2625	36
2705	36
3545	36
5502	36
5774	36
